sweep_type,experiment,model,model_label,parameter_name,parameter_value,n_trials,mean_accuracy,std_accuracy,ci95_accuracy_low,ci95_accuracy_high,mean_error_rate,std_error_rate,mean_latency_ms,std_latency_ms,median_latency_ms,p95_latency_ms,mean_inference_steps
interference,interference,full_history_reference_baseline,Full-History KV Cache [O(T)],num_overwrites,2,30,0.5333,0.5074,0.3518,0.7149,0.4667,0.5074,7.436,0.714,7.34,8.149,1.0
interference,interference,full_history_reference_baseline,Full-History KV Cache [O(T)],num_overwrites,3,30,0.3,0.4661,0.1332,0.4668,0.7,0.4661,10.017,0.99,9.966,11.201,1.0
interference,interference,full_history_reference_baseline,Full-History KV Cache [O(T)],num_overwrites,4,30,0.1667,0.379,0.031,0.3023,0.8333,0.379,13.744,1.281,13.449,16.866,1.0
interference,interference,full_history_reference_baseline,Full-History KV Cache [O(T)],num_overwrites,6,30,0.2,0.4068,0.0544,0.3456,0.8,0.4068,20.401,1.223,20.155,22.421,1.0
interference,interference,full_history_reference_baseline,Full-History KV Cache [O(T)],num_overwrites,8,30,0.0667,0.2537,0.0,0.1575,0.9333,0.2537,25.932,1.791,26.249,28.615,1.0
interference,interference,full_history_reference_baseline,Full-History KV Cache [O(T)],num_overwrites,10,30,0.1,0.3051,0.0,0.2092,0.9,0.3051,35.185,8.032,33.329,49.612,1.0
memory_capacity,memory_capacity,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],num_pairs,1,30,1.0,0.0,1.0,1.0,0.0,0.0,1.212,0.913,0.901,3.4,1.0
memory_capacity,memory_capacity,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],num_pairs,2,30,0.4333,0.504,0.253,0.6137,0.5667,0.504,2.472,2.023,1.395,6.456,1.0
memory_capacity,memory_capacity,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],num_pairs,4,30,0.1333,0.3457,0.0096,0.2571,0.8667,0.3457,2.471,0.258,2.439,2.939,1.0
memory_capacity,memory_capacity,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],num_pairs,8,30,0.0667,0.2537,0.0,0.1575,0.9333,0.2537,5.901,4.304,4.325,18.243,1.0
memory_capacity,memory_capacity,educational_evolving_memory_toy,Educational Evolving Toy [O(1)],num_pairs,12,30,0.1333,0.3457,0.0096,0.2571,0.8667,0.3457,8.484,6.779,6.153,24.664,1.0
